Exchange;Time;Side;Price;Size;Instrument
Deribit;1596788416;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788416;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788418;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788418;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788419;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788419;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788420;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788420;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788421;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788421;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788422;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788422;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788423;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788423;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788424;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788424;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788426;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788426;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788427;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788427;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788429;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788429;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788430;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788430;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788431;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788431;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788432;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788432;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788433;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788433;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788434;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788434;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788436;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788436;Buy;Market;-2550;BTC-PERPETUAL
ByBit;1596788454;Buy;Market;500;BTCUSD
Deribit;1596788931;Sell;Market;450;BTC-PERPETUAL
Deribit;1596788931;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788931;Sell;Market;450;BTC-PERPETUAL
ByBit;1596788933;Buy;Market;500;BTCUSD
Deribit;1596788963;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788963;Sell;Market;150;BTC-PERPETUAL
ByBit;1596788964;Buy;Market;500;BTCUSD
Deribit;1596788964;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788966;Sell;Market;150;BTC-PERPETUAL
ByBit;1596788967;Buy;Market;500;BTCUSD
Deribit;1596788967;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788968;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788968;Sell;Market;150;BTC-PERPETUAL
ByBit;1596788970;Buy;Market;500;BTCUSD
Deribit;1596788970;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788970;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788972;Sell;Market;150;BTC-PERPETUAL
ByBit;1596788973;Buy;Market;500;BTCUSD
ByBit;1596788976;Buy;Market;500;BTCUSD
Deribit;1596788976;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788978;Sell;Market;150;BTC-PERPETUAL
ByBit;1596788979;Buy;Market;500;BTCUSD
Deribit;1596788981;Sell;Market;-2400;BTC-PERPETUAL
Deribit;1596788982;Sell;Market;-2400;BTC-PERPETUAL
Deribit;1596788983;Sell;Market;-2400;BTC-PERPETUAL
Deribit;1596788983;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788983;Buy;Market;-2400;BTC-PERPETUAL
Deribit;1596788984;Sell;Market;-2400;BTC-PERPETUAL
Deribit;1596788984;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788984;Buy;Market;-2400;BTC-PERPETUAL
Deribit;1596788985;Sell;Market;-2250;BTC-PERPETUAL
Deribit;1596788985;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788985;Buy;Market;-2250;BTC-PERPETUAL
Deribit;1596788986;Sell;Market;-2250;BTC-PERPETUAL
Deribit;1596788987;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596788988;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596788989;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596788990;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596788991;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596788993;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596788994;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596788995;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596788996;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596788999;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789000;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789002;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789003;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789004;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789007;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789009;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789012;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789016;Sell;Market;-1950;BTC-PERPETUAL
Deribit;1596789018;Sell;Market;-1950;BTC-PERPETUAL
